id,id_hash,symbol,name,current_price,market_cap,total_volume,timestamp
1,5d41402abc4b2a76b9719d911017c592,BTC,Bitcoin,30500.12345678,580000000000,45000000,2023-07-20 04:00:00
2,7d793037a0760186574b0282f2f435e7,ETH,Ethereum,2000.12345678,240000000000,22000000,2023-07-20 04:01:00
3,9c1185a5c5e9fc54612808977ee8f548,XRP,Ripple,0.45,20000000000,30000000,2023-07-20 04:02:00
4,d3d9446802a44259755d38e6d163e820,LTC,Litecoin,150.12345678,10000000000,20000000,2023-07-20 04:03:00
5,d3d9446802a44259755d38e6d163e821,ADA,Cardano,1.23,45000000000,10000000,2023-07-20 04:04:00
6,d3d9446802a44259755d38e6d163e822,DOT,Polkadot,16.12345678,15000000000,9000000,2023-07-20 04:05:00
7,d3d9446802a44259755d38e6d163e823,SOL,Solana,34.12345678,9000000000,8000000,2023-07-20 04:06:00
8,d3d9446802a44259755d38e6d163e824,DOGE,Dogecoin,0.07,8000000000,7000000,2023-07-20 04:07:00
9,d3d9446802a44259755d38e6d163e825,SHIB,Shiba Inu,1.234e-05,7000000000,6000000,2023-07-20 04:08:00
10,d3d9446802a44259755d38e6d163e826,AVAX,Avalanche,23.12345678,6000000000,5000000,2023-07-20 04:09:00
11,d3d9446802a44259755d38e6d163e827,MATIC,Polygon,1.5,5000000000,4000000,2023-07-20 04:10:00
12,d3d9446802a44259755d38e6d163e828,ATOM,Cosmos,10.12345678,4000000000,3000000,2023-07-20 04:11:00
13,d3d9446802a44259755d38e6d163e829,LINK,Chainlink,8.12345678,3000000000,2000000,2023-07-20 04:12:00
14,d3d9446802a44259755d38e6d163e830,UNI,Uniswap,20.12345678,2000000000,1000000,2023-07-20 04:13:00
15,d3d9446802a44259755d38e6d163e831,BCH,Bitcoin Cash,240.12345678,1000000000,900000,2023-07-20 04:14:00
16,d3d9446802a44259755d38e6d163e832,XLM,Stellar,0.3,900000000,800000,2023-07-20 04:15:00
17,d3d9446802a44259755d38e6d163e833,FIL,Filecoin,50.12345678,800000000,700000,2023-07-20 04:16:00
18,d3d9446802a44259755d38e6d163e834,TRX,TRON,0.07,700000000,600000,2023-07-20 04:17:00
19,d3d9446802a44259755d38e6d163e835,ETC,Ethereum Classic,18.12345678,600000000,500000,2023-07-20 04:18:00
20,d3d9446802a44259755d38e6d163e836,VET,VeChain,0.02,500000000,400000,2023-07-20 04:19:00
